Game Code,Full Hyperlink,Home Team,Away Team,Home Team Short,Away Team Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Tipoff Winner,Tipoff Loser,Tipoff Winner Scores
202003020NYK,https://www.basketball-reference.com/boxscores/pbp/202003020NYK.html,New York Knicks,Houston Rockets,NYK,HOU,T. Gibson,J. Harden,J. Harden,HOU,NYK,D. House,/players/h/houseda01.html,HOU,J. Harden,T. Gibson,1
202003020ORL,https://www.basketball-reference.com/boxscores/pbp/202003020ORL.html,Orlando Magic,Portland Trail Blazers,ORL,POR,N. Vučević,H. Whiteside,G. Trent,POR,ORL,C. Anthony,/players/a/anthoca01.html,POR,H. Whiteside,N. Vučević,1
202003020ATL,https://www.basketball-reference.com/boxscores/pbp/202003020ATL.html,Atlanta Hawks,Memphis Grizzlies,ATL,MEM,B. Fernando,J. Valančiūnas,T. Young,ATL,MEM,J. Collins,/players/c/collijo01.html,ATL,B. Fernando,J. Valančiūnas,1
202003020MIA,https://www.basketball-reference.com/boxscores/pbp/202003020MIA.html,Miami Heat,Milwaukee Bucks,MIA,MIL,B. Adebayo,K. Middleton,G. Antetokounmpo,MIL,MIA,B. Lopez,/players/l/lopezbr01.html,MIL,K. Middleton,B. Adebayo,1
202003020CHI,https://www.basketball-reference.com/boxscores/pbp/202003020CHI.html,Chicago Bulls,Dallas Mavericks,CHI,DAL,W. Carter,M. Kleber,T. Hardaway,DAL,CHI,C. Lee,/players/l/leeco01.html,DAL,M. Kleber,W. Carter,1
202003020SAS,https://www.basketball-reference.com/boxscores/pbp/202003020SAS.html,San Antonio Spurs,Indiana Pacers,SAS,IND,D. Eubanks,M. Turner,D. Murray,IND,SAS,D. Sabonis,/players/s/sabondo01.html,SAS,M. Turner,D. Eubanks,0
202003030CHO,https://www.basketball-reference.com/boxscores/pbp/202003030CHO.html,Charlotte Hornets,San Antonio Spurs,CHO,SAS,C. Zeller,D. Eubanks,M. Bridges,CHO,SAS,P. Washington,/players/w/washipj01.html,CHO,C. Zeller,D. Eubanks,1
202003030BOS,https://www.basketball-reference.com/boxscores/pbp/202003030BOS.html,Boston Celtics,Brooklyn Nets,BOS,BRK,D. Theis,J. Allen,S. Dinwiddie,BRK,BOS,S. Dinwiddie,/players/d/dinwisp01.html,BRK,J. Allen,D. Theis,1
202003030NOP,https://www.basketball-reference.com/boxscores/pbp/202003030NOP.html,New Orleans Pelicans,Minnesota Timberwolves,NOP,MIN,D. Favors,N. Reid,J. Hernangómez,MIN,NOP,M. Beasley,/players/b/beaslma01.html,MIN,N. Reid,D. Favors,1
202003030OKC,https://www.basketball-reference.com/boxscores/pbp/202003030OKC.html,Oklahoma City Thunder,Los Angeles Clippers,OKC,LAC,S. Adams,I. Zubac,P. Beverley,OKC,LAC,C. Paul,/players/p/paulch01.html,LAC,S. Adams,I. Zubac,0
