Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon TeamTipoff Winner,Tipoff Loser,Tipoff Winner Scores
200411120ORL,https://www.basketball-reference.com/boxscores/pbp/200411120ORL.html,Orlando Magic,Los Angeles Lakers,ORL,LAL,D. Howard,C. Mihm,S. Francis,ORL,LAL,T. Battie,/players/b/battito01.html,ORL,LAL,D. Howard,C. Mihm,1
200411120PHI,https://www.basketball-reference.com/boxscores/pbp/200411120PHI.html,Philadelphia 76ers,Indiana Pacers,PHI,IND,M. Jackson,J. O'Neal,A. Iverson,IND,PHI,A. Croshere,/players/c/croshau01.html,PHI,IND,J. O'Neal,M. Jackson,0
200411120BOS,https://www.basketball-reference.com/boxscores/pbp/200411120BOS.html,Boston Celtics,Charlotte Bobcats,BOS,CHA,M. Blount,P. Brezec,J. Hart,BOS,CHA,G. Payton,/players/p/paytoga01.html,CHA,BOS,M. Blount,P. Brezec,0
200411120NYK,https://www.basketball-reference.com/boxscores/pbp/200411120NYK.html,New York Knicks,Los Angeles Clippers,NYK,LAC,N. Mohammed,C. Wilcox,T. Thomas,NYK,LAC,T. Thomas,/players/t/thomati01.html,NYK,LAC,N. Mohammed,C. Wilcox,1
200411120MEM,https://www.basketball-reference.com/boxscores/pbp/200411120MEM.html,Memphis Grizzlies,Golden State Warriors,MEM,GSW,P. Gasol,A. Foyle,J. Williams,GSW,MEM,T. Murphy,/players/m/murphtr01.html,MEM,GSW,A. Foyle,P. Gasol,0
200411120NOH,https://www.basketball-reference.com/boxscores/pbp/200411120NOH.html,New Orleans Hornets,Atlanta Hawks,NOH,ATL,J. Magloire,J. Collier,K. Anderson,ATL,NOH,A. Walker,/players/w/walkean02.html,ATL,NOH,J. Collier,J. Magloire,1
200411120SAS,https://www.basketball-reference.com/boxscores/pbp/200411120SAS.html,San Antonio Spurs,Miami Heat,SAS,MIA,R. Nesterović,S. O'Neal,M. Ginóbili,SAS,MIA,T. Parker,/players/p/parketo01.html,SAS,MIA,R. Nesterović,S. O'Neal,1
200411120SEA,https://www.basketball-reference.com/boxscores/pbp/200411120SEA.html,Seattle SuperSonics,Toronto Raptors,SEA,TOR,J. James,C. Bosh,R. Alston,SEA,TOR,L. Ridnour,/players/r/ridnolu01.html,TOR,SEA,J. James,C. Bosh,0
200411130CLE,https://www.basketball-reference.com/boxscores/pbp/200411130CLE.html,Cleveland Cavaliers,Washington Wizards,CLE,WAS,,,,,,,,,,
200411130NJN,https://www.basketball-reference.com/boxscores/pbp/200411130NJN.html,New Jersey Nets,Dallas Mavericks,NJN,DAL,J. Collins,E. Dampier,Z. Planinić,DAL,NJN,D. Harris,/players/h/harride01.html,NJN,DAL,E. Dampier,J. Collins,0
200411130ATL,https://www.basketball-reference.com/boxscores/pbp/200411130ATL.html,Atlanta Hawks,San Antonio Spurs,ATL,SAS,J. Collier,R. Nesterović,R. Nesterović,SAS,ATL,T. Parker,/players/p/parketo01.html,SAS,ATL,R. Nesterović,J. Collier,1
200411130CHA,https://www.basketball-reference.com/boxscores/pbp/200411130CHA.html,Charlotte Bobcats,Golden State Warriors,CHA,GSW,E. Okafor,C. Robinson,J. Hart,CHA,GSW,J. Hart,/players/h/hartja01.html,CHA,GSW,E. Okafor,C. Robinson,1
200411130IND,https://www.basketball-reference.com/boxscores/pbp/200411130IND.html,Indiana Pacers,New York Knicks,IND,NYK,,,,,,,,,,
200411130CHI,https://www.basketball-reference.com/boxscores/pbp/200411130CHI.html,Chicago Bulls,Los Angeles Clippers,CHI,LAC,T. Chandler,C. Wilcox,E. Brand,LAC,CHI,M. Jarić,/players/j/jaricma01.html,LAC,CHI,C. Wilcox,T. Chandler,1
