Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Home Tipper Link,Away Tipper,Away Tipper Link,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tipoff Winner,Tipoff Winner Link,Tipoff Loser,Tipoff Loser Link,Tipoff Winner Scores
202101200CLE,https://www.basketball-reference.com/boxscores/pbp/202101200CLE.html,Cleveland Cavaliers,Brooklyn Nets,CLE,BRK,A. Drummond,/players/d/drumman01.html,D. Jordan,/players/j/jordade01.html,A. Drummond,CLE,BRK,C. Osman,/players/o/osmande01.html,CLE,BRK,A. Drummond,/players/d/drumman01.html,D. Jordan,/players/j/jordade01.html,1
202101200IND,https://www.basketball-reference.com/boxscores/pbp/202101200IND.html,Indiana Pacers,Dallas Mavericks,IND,DAL,D. Sabonis,/players/s/sabondo01.html,K. Porziņģis,/players/p/porzikr01.html,L. Dončić,IND,DAL,E. Sumner,/players/s/sumneed01.html,DAL,IND,D. Sabonis,/players/s/sabondo01.html,K. Porziņģis,/players/p/porzikr01.html,0
202101200PHI,https://www.basketball-reference.com/boxscores/pbp/202101200PHI.html,Philadelphia 76ers,Boston Celtics,PHI,BOS,J. Embiid,/players/e/embiijo01.html,T. Thompson,/players/t/thomptr01.html,K. Walker,PHI,BOS,T. Harris,/players/h/harrito02.html,BOS,PHI,J. Embiid,/players/e/embiijo01.html,T. Thompson,/players/t/thomptr01.html,0
202101200ATL,https://www.basketball-reference.com/boxscores/pbp/202101200ATL.html,Atlanta Hawks,Detroit Pistons,ATL,DET,C. Capela,/players/c/capelca01.html,M. Plumlee,/players/p/plumlma01.html,C. Capela,ATL,DET,T. Young,/players/y/youngtr01.html,ATL,DET,C. Capela,/players/c/capelca01.html,M. Plumlee,/players/p/plumlma01.html,1
202101200TOR,https://www.basketball-reference.com/boxscores/pbp/202101200TOR.html,Toronto Raptors,Miami Heat,TOR,MIA,A. Baynes,/players/b/baynear01.html,B. Adebayo,/players/a/adebaba01.html,K. Lowry,MIA,TOR,G. Dragić,/players/d/dragigo01.html,TOR,MIA,B. Adebayo,/players/a/adebaba01.html,A. Baynes,/players/b/baynear01.html,0
202101200MIN,https://www.basketball-reference.com/boxscores/pbp/202101200MIN.html,Minnesota Timberwolves,Orlando Magic,MIN,ORL,N. Reid,/players/r/reidna01.html,N. Vučević,/players/v/vucevni01.html,N. Vučević,ORL,MIN,A. Gordon,/players/g/gordoaa01.html,ORL,MIN,N. Vučević,/players/v/vucevni01.html,N. Reid,/players/r/reidna01.html,1
202101200HOU,https://www.basketball-reference.com/boxscores/pbp/202101200HOU.html,Houston Rockets,Phoenix Suns,HOU,PHO,C. Wood,/players/w/woodch01.html,D. Ayton,/players/a/aytonde01.html,E. Gordon,HOU,PHO,V. Oladipo,/players/o/oladivi01.html,HOU,PHO,C. Wood,/players/w/woodch01.html,D. Ayton,/players/a/aytonde01.html,1
202101200GSW,https://www.basketball-reference.com/boxscores/pbp/202101200GSW.html,Golden State Warriors,San Antonio Spurs,GSW,SAS,J. Wiseman,/players/w/wisemja01.html,L. Aldridge,/players/a/aldrila01.html,J. Wiseman,SAS,GSW,D. Murray,/players/m/murrade01.html,GSW,SAS,L. Aldridge,/players/a/aldrila01.html,J. Wiseman,/players/w/wisemja01.html,0
202101200LAC,https://www.basketball-reference.com/boxscores/pbp/202101200LAC.html,Los Angeles Clippers,Sacramento Kings,LAC,SAC,S. Ibaka,/players/i/ibakase01.html,R. Holmes,/players/h/holmeri01.html,P. George,LAC,SAC,N. Batum,/players/b/batumni01.html,LAC,SAC,S. Ibaka,/players/i/ibakase01.html,R. Holmes,/players/h/holmeri01.html,1
202101210MIL,https://www.basketball-reference.com/boxscores/pbp/202101210MIL.html,Milwaukee Bucks,Los Angeles Lakers,MIL,LAL,B. Lopez,/players/l/lopezbr01.html,A. Davis,/players/d/davisan02.html,G. Antetokounmpo,MIL,LAL,G. Antetokounmpo,/players/a/antetgi01.html,MIL,LAL,B. Lopez,/players/l/lopezbr01.html,A. Davis,/players/d/davisan02.html,1
202101210GSW,https://www.basketball-reference.com/boxscores/pbp/202101210GSW.html,Golden State Warriors,New York Knicks,GSW,NYK,J. Wiseman,/players/w/wisemja01.html,M. Robinson,/players/r/robinmi01.html,R. Barrett,GSW,NYK,D. Green,/players/g/greendr01.html,NYK,GSW,J. Wiseman,/players/w/wisemja01.html,M. Robinson,/players/r/robinmi01.html,0
202101210UTA,https://www.basketball-reference.com/boxscores/pbp/202101210UTA.html,Utah Jazz,New Orleans Pelicans,UTA,NOP,R. Gobert,/players/g/goberru01.html,S. Adams,/players/a/adamsst01.html,D. Mitchell,UTA,NOP,R. O'Neale,/players/o/onealro01.html,UTA,NOP,R. Gobert,/players/g/goberru01.html,S. Adams,/players/a/adamsst01.html,1
