,Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores
967,201703110DET,https://www.basketball-reference.com/boxscores/pbp/201703110DET.html,Detroit Pistons,New York Knicks,DET,NYK,A. Drummond,K. Porziņģis,T. Harris,DET,NYK,T. Harris,/players/h/harrito02.html,DET,NYK,A. Drummond,/players/d/drumman01.html,K. Porziņģis,/players/p/porzikr01.html,1.0
968,201703110CHO,https://www.basketball-reference.com/boxscores/pbp/201703110CHO.html,Charlotte Hornets,New Orleans Pelicans,CHO,NOP,C. Zeller,A. Davis,D. Cousins,NOP,CHO,D. Cousins,/players/c/couside01.html,NOP,CHO,A. Davis,/players/d/davisan02.html,C. Zeller,/players/z/zelleco01.html,1.0
969,201703110ORL,https://www.basketball-reference.com/boxscores/pbp/201703110ORL.html,Orlando Magic,Cleveland Cavaliers,ORL,CLE,N. Vučević,T. Thompson,N. Vučević,ORL,CLE,E. Payton,/players/p/paytoel01.html,ORL,CLE,N. Vučević,/players/v/vucevni01.html,T. Thompson,/players/t/thomptr01.html,1.0
970,201703110MIA,https://www.basketball-reference.com/boxscores/pbp/201703110MIA.html,Miami Heat,Toronto Raptors,MIA,TOR,H. Whiteside,J. Valančiūnas,S. Ibaka,TOR,MIA,C. Joseph,/players/j/josepco01.html,TOR,MIA,J. Valančiūnas,/players/v/valanjo01.html,H. Whiteside,/players/w/whiteha01.html,1.0
971,201703110MIL,https://www.basketball-reference.com/boxscores/pbp/201703110MIL.html,Milwaukee Bucks,Minnesota Timberwolves,MIL,MIN,T. Maker,K. Towns,K. Towns,MIL,MIN,K. Middleton,/players/m/middlkh01.html,MIN,MIL,T. Maker,/players/m/makerth01.html,K. Towns,/players/t/townska01.html,0.0
972,201703110SAS,https://www.basketball-reference.com/boxscores/pbp/201703110SAS.html,San Antonio Spurs,Golden State Warriors,SAS,GSW,D. Dedmon,Z. Pachulia,P. Mills,SAS,GSW,P. Mills,/players/m/millspa02.html,SAS,GSW,D. Dedmon,/players/d/dedmode01.html,Z. Pachulia,/players/p/pachuza01.html,1.0
973,201703110DAL,https://www.basketball-reference.com/boxscores/pbp/201703110DAL.html,Dallas Mavericks,Phoenix Suns,DAL,PHO,D. Nowitzki,M. Chriss,D. Jones,PHO,DAL,E. Bledsoe,/players/b/bledser01.html,PHO,DAL,M. Chriss,/players/c/chrisma01.html,D. Nowitzki,/players/n/nowitdi01.html,1.0
974,201703110MEM,https://www.basketball-reference.com/boxscores/pbp/201703110MEM.html,Memphis Grizzlies,Atlanta Hawks,MEM,ATL,M. Gasol,K. Humphries,K. Bazemore,ATL,MEM,P. Millsap,/players/m/millspa01.html,ATL,MEM,K. Humphries,/players/h/humphkr01.html,M. Gasol,/players/g/gasolma01.html,1.0
975,201703110POR,https://www.basketball-reference.com/boxscores/pbp/201703110POR.html,Portland Trail Blazers,Washington Wizards,POR,WAS,J. Nurkić,M. Gortat,N. Vonleh,POR,WAS,C. McCollum,/players/m/mccolcj01.html,POR,WAS,J. Nurkić,/players/n/nurkiju01.html,M. Gortat,/players/g/gortama01.html,1.0
976,201703110SAC,https://www.basketball-reference.com/boxscores/pbp/201703110SAC.html,Sacramento Kings,Denver Nuggets,SAC,DEN,K. Koufos,N. Jokić,D. Gallinari,DEN,SAC,W. Chandler,/players/c/chandwi01.html,DEN,SAC,N. Jokić,/players/j/jokicni01.html,K. Koufos,/players/k/koufoko01.html,1.0
977,201703120BOS,https://www.basketball-reference.com/boxscores/pbp/201703120BOS.html,Boston Celtics,Chicago Bulls,BOS,CHI,A. Johnson,R. Lopez,I. Thomas,CHI,BOS,B. Portis,/players/p/portibo01.html,BOS,CHI,R. Lopez,/players/l/lopezro01.html,A. Johnson,/players/j/johnsam01.html,0.0
978,201703120BRK,https://www.basketball-reference.com/boxscores/pbp/201703120BRK.html,Brooklyn Nets,New York Knicks,BRK,NYK,B. Lopez,K. Porziņģis,J. Lin,BRK,NYK,C. LeVert,/players/l/leverca01.html,BRK,NYK,B. Lopez,/players/l/lopezbr01.html,K. Porziņģis,/players/p/porzikr01.html,1.0
979,201703120IND,https://www.basketball-reference.com/boxscores/pbp/201703120IND.html,Indiana Pacers,Miami Heat,IND,MIA,M. Turner,H. Whiteside,T. Young,MIA,IND,R. McGruder,/players/m/mcgruro01.html,IND,MIA,H. Whiteside,/players/w/whiteha01.html,M. Turner,/players/t/turnemy01.html,0.0
980,201703120HOU,https://www.basketball-reference.com/boxscores/pbp/201703120HOU.html,Houston Rockets,Cleveland Cavaliers,HOU,CLE,C. Capela,T. Thompson,C. Capela,HOU,CLE,R. Anderson,/players/a/anderry01.html,HOU,CLE,C. Capela,/players/c/capelca01.html,T. Thompson,/players/t/thomptr01.html,1.0
981,201703120PHO,https://www.basketball-reference.com/boxscores/pbp/201703120PHO.html,Phoenix Suns,Portland Trail Blazers,PHO,POR,M. Chriss,J. Nurkić,N. Vonleh,POR,PHO,N. Vonleh,/players/v/vonleno01.html,POR,PHO,J. Nurkić,/players/n/nurkiju01.html,M. Chriss,/players/c/chrisma01.html,1.0
982,201703120LAL,https://www.basketball-reference.com/boxscores/pbp/201703120LAL.html,Los Angeles Lakers,Philadelphia 76ers,LAL,PHI,I. Zubac,J. Okafor,D. Russell,LAL,PHI,J. Randle,/players/r/randlju01.html,LAL,PHI,I. Zubac,/players/z/zubaciv01.html,J. Okafor,/players/o/okafoja01.html,1.0
